SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,PaymentMethod,Discount,SalespersonID,StoreLocation,CreatedAt
1,101,201,2023-01-01 10:00:00,2,50.00,Credit Card,5.00,1,New York,2023-01-01 09:00:00
2,102,202,2023-01-02 11:00:00,1,30.00,Cash,0.00,2,Los Angeles,2023-01-02 10:00:00
3,103,203,2023-01-03 12:00:00,5,150.00,Credit Card,10.00,1,Chicago,2023-01-03 11:00:00
4,104,204,2023-01-04 13:00:00,3,90.00,Cash,5.00,3,Houston,2023-01-04 12:00:00
5,105,205,2023-01-05 14:00:00,4,120.00,Credit Card,15.00,2,Phoenix,2023-01-05 13:00:00
6,106,206,2023-01-06 15:00:00,1,25.00,Cash,0.00,1,Philadelphia,2023-01-06 14:00:00
7,107,207,2023-01-07 16:00:00,6,180.00,Credit Card,20.00,3,San Antonio,2023-01-07 15:00:00
8,108,208,2023-01-08 17:00:00,2,60.00,Cash,5.00,2,Dallas,2023-01-08 16:00:00
9,109,209,2023-01-09 18:00:00,3,90.00,Credit Card,10.00,1,San Diego,2023-01-09 17:00:00
10,110,210,2023-01-10 19:00:00,1,30.00,Cash,0.00,3,San Jose,2023-01-10 18:00:00
11,111,211,2023-01-11 20:00:00,4,120.00,Credit Card,15.00,2,Austin,2023-01-11 19:00:00
12,112,212,2023-01-12 21:00:00,5,150.00,Cash,10.00,1,Jacksonville,2023-01-12 20:00:00
13,113,213,2023-01-13 22:00:00,2,50.00,Credit Card,5.00,3,Fort Worth,2023-01-13 21:00:00
14,114,214,2023-01-14 08:00:00,1,25.00,Cash,0.00,2,Columbus,2023-01-14 07:00:00
15,115,215,2023-01-15 09:00:00,3,90.00,Credit Card,10.00,1,Charlotte,2023-01-15 08:00:00
16,116,216,2023-01-16 10:00:00,4,120.00,Cash,15.00,3,San Francisco,2023-01-16 09:00:00
17,117,217,2023-01-17 11:00:00,6,180.00,Credit Card,20.00,2,Indianapolis,2023-01-17 10:00:00
18,118,218,2023-01-18 12:00:00,2,60.00,Cash,5.00,1,Seattle,2023-01-18 11:00:00
19,119,219,2023-01-19 13:00:00,3,90.00,Credit Card,10.00,3,Denver,2023-01-19 12:00:00
20,120,220,2023-01-20 14:00:00,1,30.00,Cash,0.00,2,Boston,2023-01-20 13:00:00
21,121,221,2023-01-21 15:00:00,4,120.00,Credit Card,15.00,1,Nashville,2023-01-21 14:00:00
22,122,222,2023-01-22 16:00:00,5,150.00,Cash,10.00,3,Oklahoma City,2023-01-22 15:00:00
23,123,223,2023-01-23 17:00:00,2,50.00,Credit Card,5.00,2,Las Vegas,2023-01-23 16:00:00
24,124,224,2023-01-24 18:00:00,1,25.00,Cash,0.00,1,Portland,2023-01-24 17:00:00
25,125,225,2023-01-25 19:00:00,3,90.00,Credit Card,10.00,3,Milwaukee,2023-01-25 18:00:00
26,126,226,2023-01-26 20:00:00,4,120.00,Cash,15.00,2,Albuquerque,2023-01-26 19:00:00
27,127,227,2023-01-27 21:00:00,6,180.00,Credit Card,20.00,1,Tucson,2023-01-27 20:00:00
28,128,228,2023-01-28 22:00:00,2,60.00,Cash,5.00,3,Fresno,2023-01-28 21:00:00
29,129,229,2023-01-29 08:00:00,3,90.00,Credit Card,10.00,2,Sacramento,2023-01-29 07:00:00
30,130,230,2023-01-30 09:00:00,1,30.00,Cash,0.00,1,Long Beach,2023-01-30 08:00:00
31,131,231,2023-01-31 10:00:00,4,120.00,Credit Card,15.00,3,Kansas City,2023-01-31 09:00:00
