AccessID,CustomerID,Category,AccessDate,PageViewed,Duration,DeviceType,Browser,ReferralSource,IsSuccessful,CreatedAt
1,101,"browsing","2024-01-01 08:30:00","Homepage",120,"desktop","Chrome","Google",true,"2024-01-01 08:30:00"
2,102,"purchasing","2024-01-01 09:00:00","Product Page",300,"mobile","Safari","Email",true,"2024-01-01 09:00:00"
3,103,"browsing","2024-01-01 09:15:00","Homepage",150,"desktop","Firefox","Social Media",true,"2024-01-01 09:15:00"
4,104,"browsing","2024-01-01 09:45:00","About Us",90,"mobile","Chrome","Referral",true,"2024-01-01 09:45:00"
5,105,"purchasing","2024-01-01 10:00:00","Checkout",400,"desktop","Edge","Google",true,"2024-01-01 10:00:00"
6,106,"browsing","2024-01-01 10:30:00","Product Page",200,"mobile","Safari","Direct",true,"2024-01-01 10:30:00"
7,107,"browsing","2024-01-01 11:00:00","Homepage",180,"desktop","Firefox","Email",true,"2024-01-01 11:00:00"
8,108,"purchasing","2024-01-01 11:30:00","Product Page",350,"mobile","Chrome","Social Media",true,"2024-01-01 11:30:00"
9,109,"browsing","2024-01-01 12:00:00","Contact Us",120,"desktop","Edge","Referral",true,"2024-01-01 12:00:00"
10,110,"browsing","2024-01-01 12:30:00","Homepage",90,"mobile","Safari","Google",true,"2024-01-01 12:30:00"
11,111,"purchasing","2024-01-02 08:30:00","Product Page",310,"desktop","Chrome","Email",true,"2024-01-02 08:30:00"
12,112,"browsing","2024-01-02 09:00:00","Homepage",160,"mobile","Firefox","Social Media",true,"2024-01-02 09:00:00"
13,113,"browsing","2024-01-02 09:30:00","About Us",110,"desktop","Edge","Referral",true,"2024-01-02 09:30:00"
14,114,"purchasing","2024-01-02 10:00:00","Checkout",420,"mobile","Safari","Google",true,"2024-01-02 10:00:00"
15,115,"browsing","2024-01-02 10:30:00","Product Page",190,"desktop","Chrome","Direct",true,"2024-01-02 10:30:00"
16,116,"browsing","2024-01-02 11:00:00","Homepage",170,"mobile","Firefox","Email",true,"2024-01-02 11:00:00"
17,117,"purchasing","2024-01-02 11:30:00","Product Page",360,"desktop","Edge","Social Media",true,"2024-01-02 11:30:00"
18,118,"browsing","2024-01-02 12:00:00","Contact Us",130,"mobile","Safari","Referral",true,"2024-01-02 12:00:00"
19,119,"browsing","2024-01-02 12:30:00","Homepage",80,"desktop","Chrome","Google",true,"2024-01-02 12:30:00"
20,120,"purchasing","2024-01-03 08:30:00","Product Page",300,"mobile","Firefox","Email",true,"2024-01-03 08:30:00"
21,121,"browsing","2024-01-03 09:00:00","Homepage",140,"desktop","Edge","Social Media",true,"2024-01-03 09:00:00"
22,122,"browsing","2024-01-03 09:30:00","About Us",120,"mobile","Safari","Referral",true,"2024-01-03 09:30:00"
23,123,"purchasing","2024-01-03 10:00:00","Checkout",400,"desktop","Chrome","Google",true,"2024-01-03 10:00:00"
24,124,"browsing","2024-01-03 10:30:00","Product Page",200,"mobile","Firefox","Direct",true,"2024-01-03 10:30:00"
25,125,"browsing","2024-01-03 11:00:00","Homepage",160,"desktop","Edge","Email",true,"2024-01-03 11:00:00"
26,126,"purchasing","2024-01-03 11:30:00","Product Page",350,"mobile","Safari","Social Media",true,"2024-01-03 11:30:00"
27,127,"browsing","2024-01-03 12:00:00","Contact Us",140,"desktop","Chrome","Referral",true,"2024-01-03 12:00:00"
28,128,"browsing","2024-01-03 12:30:00","Homepage",90,"mobile","Firefox","Google",true,"2024-01-03 12:30:00"
29,129,"purchasing","2024-01-04 08:30:00","Product Page",320,"desktop","Edge","Email",true,"2024-01-04 08:30:00"
30,130,"browsing","2024-01-04 09:00:00","Homepage",180,"mobile","Safari","Social Media",true,"2024-01-04 09:00:00"
31,131,"browsing","2024-01-04 09:30:00","About Us",110,"desktop","Chrome","Referral",true,"2024-01-04 09:30:00"
32,132,"purchasing","2024-01-04 10:00:00","Checkout",410,"mobile","Firefox","Google",true,"2024-01-04 10:00:00"
33,133,"browsing","2024-01-04 10:30:00","Product Page",190,"desktop","Edge","Direct",true,"2024-01-04 10:30:00"
34,134,"browsing","2024-01-04 11:00:00","Homepage",170,"mobile","Safari","Email",true,"2024-01-04 11:00:00"
35,135,"purchasing","2024-01-04 11:30:00","Product Page",370,"desktop","Chrome","Social Media",true,"2024-01-04 11:30:00"
