TrendID,ProductGroupID,TrendDescription,StartDate,EndDate,Region,MarketSegment,SalesImpact,CompetitorActivity,CreatedAt,UpdatedAt
1,1,"Increase in smartphone sales due to new model launch","2023-01-01 09:00:00","2023-02-01 17:00:00","North America","Consumer Electronics",15.5,"Aggressive marketing campaigns","2023-01-01 08:00:00","2023-01-02 08:00:00"
2,2,"Rise in demand for energy-efficient appliances","2023-01-15 10:00:00","2023-03-15 18:00:00","Europe","Home Appliances",10.2,"Competitors reducing prices","2023-01-10 09:30:00","2023-01-12 09:45:00"
3,3,"Growth in home office furniture sales","2023-02-01 08:30:00","2023-04-01 20:00:00","Asia","Furniture",12.0,"New product lines introduced","2023-01-20 14:00:00","2023-01-22 14:15:00"
4,4,"Surge in online clothing sales","2023-02-15 11:00:00","2023-05-15 19:30:00","North America","Fashion",20.0,"Partnerships with influencers","2023-02-10 10:00:00","2023-02-12 10:15:00"
5,5,"Increase in outdoor sports equipment sales","2023-03-01 09:00:00","2023-06-01 17:00:00","Europe","Sports",18.5,"Seasonal promotions","2023-02-25 09:30:00","2023-02-27 09:45:00"
6,6,"Growing popularity of educational toys","2023-03-15 10:00:00","2023-07-15 18:00:00","Asia","Toys",14.0,"New educational partnerships","2023-03-10 10:30:00","2023-03-12 10:45:00"
7,7,"Increase in e-book sales during pandemic","2023-04-01 08:00:00","2023-08-01 20:00:00","North America","Media",8.0,"Discounts on popular titles","2023-03-20 14:00:00","2023-03-22 14:15:00"
8,8,"Rise in skincare product sales","2023-04-15 11:30:00","2023-09-15 19:30:00","Europe","Health & Beauty",25.0,"Collaborations with dermatologists","2023-04-10 10:00:00","2023-04-12 10:15:00"
9,9,"Increase in automotive parts sales","2023-05-01 09:00:00","2023-10-01 17:00:00","Asia","Automotive",12.5,"Competitors launching new brands","2023-04-20 09:30:00","2023-04-22 09:45:00"
10,10,"Growth in demand for office supplies","2023-05-15 10:30:00","2023-11-15 18:00:00","North America","Office",15.0,"Bulk discounts offered","2023-05-10 10:00:00","2023-05-12 10:15:00"
11,11,"Surge in garden tool sales during spring","2023-06-01 08:30:00","2023-12-01 20:00:00","Europe","Garden",20.0,"Seasonal advertising campaigns","2023-05-25 14:00:00","2023-05-27 14:15:00"
12,12,"Increase in pet food sales","2023-06-15 11:00:00","2023-12-15 19:00:00","Asia","Pets",22.0,"New flavor introductions","2023-06-10 10:30:00","2023-06-12 10:45:00"
13,13,"Growth in health supplement sales","2023-07-01 09:00:00","2024-01-01 17:00:00","North America","Health & Beauty",30.0,"Promotions during health awareness month","2023-06-20 09:30:00","2023-06-22 09:45:00"
